problem,method,h,x,y,exact,numerical,absolute_error
A,Direct,0.25,0.0,0.0,0.0,0.0,0.0
A,Direct,0.25,0.25,0.0,0.0,0.0,0.0
A,Direct,0.25,0.5,0.0,0.0,0.0,0.0
A,Direct,0.25,0.75,0.0,0.0,0.0,0.0
A,Direct,0.25,1.0,0.0,0.0,0.0,0.0
A,Direct,0.25,0.0,0.25,0.0,0.0,0.0
A,Direct,0.25,0.25,0.25,6.25,6.25,0.0
A,Direct,0.25,0.5,0.25,12.5,12.500000000000002,1.7763568394002505e-15
A,Direct,0.25,0.75,0.25,18.75,18.75,0.0
A,Direct,0.25,1.0,0.25,25.0,25.0,0.0
A,Direct,0.25,0.0,0.5,0.0,0.0,0.0
A,Direct,0.25,0.25,0.5,12.5,12.5,0.0
A,Direct,0.25,0.5,0.5,25.0,25.000000000000004,3.552713678800501e-15
A,Direct,0.25,0.75,0.5,37.5,37.5,0.0
A,Direct,0.25,1.0,0.5,50.0,50.0,0.0
A,Direct,0.25,0.0,0.75,0.0,0.0,0.0
A,Direct,0.25,0.25,0.75,18.75,18.75,0.0
A,Direct,0.25,0.5,0.75,37.5,37.5,0.0
A,Direct,0.25,0.75,0.75,56.25,56.24999999999999,7.105427357601002e-15
A,Direct,0.25,1.0,0.75,75.0,75.0,0.0
A,Direct,0.25,0.0,1.0,0.0,0.0,0.0
A,Direct,0.25,0.25,1.0,25.0,25.0,0.0
A,Direct,0.25,0.5,1.0,50.0,50.0,0.0
A,Direct,0.25,0.75,1.0,75.0,75.0,0.0
A,Direct,0.25,1.0,1.0,100.0,100.0,0.0
A,SOR omega=1.6,0.25,0.0,0.0,0.0,0.0,0.0
A,SOR omega=1.6,0.25,0.25,0.0,0.0,0.0,0.0
A,SOR omega=1.6,0.25,0.5,0.0,0.0,0.0,0.0
A,SOR omega=1.6,0.25,0.75,0.0,0.0,0.0,0.0
A,SOR omega=1.6,0.25,1.0,0.0,0.0,0.0,0.0
A,SOR omega=1.6,0.25,0.0,0.25,0.0,0.0,0.0
A,SOR omega=1.6,0.25,0.25,0.25,6.25,6.24999999994679,5.32098809458148e-11
A,SOR omega=1.6,0.25,0.5,0.25,12.5,12.499999999987207,1.2793321957360604e-11
A,SOR omega=1.6,0.25,0.75,0.25,18.75,18.749999999991587,8.412825991399586e-12
A,SOR omega=1.6,0.25,1.0,0.25,25.0,25.0,0.0
A,SOR omega=1.6,0.25,0.0,0.5,0.0,0.0,0.0
A,SOR omega=1.6,0.25,0.25,0.5,12.5,12.499999999987207,1.2793321957360604e-11
A,SOR omega=1.6,0.25,0.5,0.5,25.0,24.999999999987892,1.2107648217352107e-11
A,SOR omega=1.6,0.25,0.75,0.5,37.5,37.50000000000041,4.121147867408581e-13
A,SOR omega=1.6,0.25,1.0,0.5,50.0,50.0,0.0
A,SOR omega=1.6,0.25,0.0,0.75,0.0,0.0,0.0
A,SOR omega=1.6,0.25,0.25,0.75,18.75,18.749999999991587,8.412825991399586e-12
A,SOR omega=1.6,0.25,0.5,0.75,37.5,37.50000000000041,4.121147867408581e-13
A,SOR omega=1.6,0.25,0.75,0.75,56.25,56.25000000000647,6.473044322774513e-12
A,SOR omega=1.6,0.25,1.0,0.75,75.0,75.0,0.0
A,SOR omega=1.6,0.25,0.0,1.0,0.0,0.0,0.0
A,SOR omega=1.6,0.25,0.25,1.0,25.0,25.0,0.0
A,SOR omega=1.6,0.25,0.5,1.0,50.0,50.0,0.0
A,SOR omega=1.6,0.25,0.75,1.0,75.0,75.0,0.0
A,SOR omega=1.6,0.25,1.0,1.0,100.0,100.0,0.0
A,Direct,0.125,0.0,0.0,0.0,0.0,0.0
A,Direct,0.125,0.125,0.0,0.0,0.0,0.0
A,Direct,0.125,0.25,0.0,0.0,0.0,0.0
A,Direct,0.125,0.375,0.0,0.0,0.0,0.0
A,Direct,0.125,0.5,0.0,0.0,0.0,0.0
A,Direct,0.125,0.625,0.0,0.0,0.0,0.0
A,Direct,0.125,0.75,0.0,0.0,0.0,0.0
A,Direct,0.125,0.875,0.0,0.0,0.0,0.0
A,Direct,0.125,1.0,0.0,0.0,0.0,0.0
A,Direct,0.125,0.0,0.125,0.0,0.0,0.0
A,Direct,0.125,0.125,0.125,1.5625,1.5624999999999982,1.7763568394002505e-15
A,Direct,0.125,0.25,0.125,3.125,3.1249999999999964,3.552713678800501e-15
A,Direct,0.125,0.375,0.125,4.6875,4.6874999999999964,3.552713678800501e-15
A,Direct,0.125,0.5,0.125,6.25,6.249999999999997,2.6645352591003757e-15
A,Direct,0.125,0.625,0.125,7.8125,7.8124999999999964,3.552713678800501e-15
A,Direct,0.125,0.75,0.125,9.375,9.374999999999996,3.552713678800501e-15
A,Direct,0.125,0.875,0.125,10.9375,10.937499999999996,3.552713678800501e-15
A,Direct,0.125,1.0,0.125,12.5,12.5,0.0
A,Direct,0.125,0.0,0.25,0.0,0.0,0.0
A,Direct,0.125,0.125,0.25,3.125,3.1249999999999964,3.552713678800501e-15
A,Direct,0.125,0.25,0.25,6.25,6.249999999999993,7.105427357601002e-15
A,Direct,0.125,0.375,0.25,9.375,9.374999999999991,8.881784197001252e-15
A,Direct,0.125,0.5,0.25,12.5,12.499999999999993,7.105427357601002e-15
A,Direct,0.125,0.625,0.25,15.625,15.624999999999993,7.105427357601002e-15
A,Direct,0.125,0.75,0.25,18.75,18.749999999999993,7.105427357601002e-15
A,Direct,0.125,0.875,0.25,21.875,21.874999999999993,7.105427357601002e-15
A,Direct,0.125,1.0,0.25,25.0,25.0,0.0
A,Direct,0.125,0.0,0.375,0.0,0.0,0.0
A,Direct,0.125,0.125,0.375,4.6875,4.687499999999996,4.440892098500626e-15
A,Direct,0.125,0.25,0.375,9.375,9.374999999999991,8.881784197001252e-15
A,Direct,0.125,0.375,0.375,14.0625,14.06249999999999,1.0658141036401503e-14
A,Direct,0.125,0.5,0.375,18.75,18.74999999999999,1.0658141036401503e-14
A,Direct,0.125,0.625,0.375,23.4375,23.437499999999993,7.105427357601002e-15
A,Direct,0.125,0.75,0.375,28.125,28.124999999999993,7.105427357601002e-15
A,Direct,0.125,0.875,0.375,32.8125,32.81249999999999,7.105427357601002e-15
A,Direct,0.125,1.0,0.375,37.5,37.5,0.0
A,Direct,0.125,0.0,0.5,0.0,0.0,0.0
A,Direct,0.125,0.125,0.5,6.25,6.249999999999995,5.329070518200751e-15
A,Direct,0.125,0.25,0.5,12.5,12.499999999999991,8.881784197001252e-15
A,Direct,0.125,0.375,0.5,18.75,18.74999999999999,1.0658141036401503e-14
A,Direct,0.125,0.5,0.5,25.0,24.99999999999999,1.0658141036401503e-14
A,Direct,0.125,0.625,0.5,31.25,31.249999999999986,1.4210854715202004e-14
A,Direct,0.125,0.75,0.5,37.5,37.499999999999986,1.4210854715202004e-14
A,Direct,0.125,0.875,0.5,43.75,43.74999999999999,7.105427357601002e-15
A,Direct,0.125,1.0,0.5,50.0,50.0,0.0
A,Direct,0.125,0.0,0.625,0.0,0.0,0.0
A,Direct,0.125,0.125,0.625,7.8125,7.812499999999994,6.217248937900877e-15
A,Direct,0.125,0.25,0.625,15.625,15.62499999999999,1.0658141036401503e-14
A,Direct,0.125,0.375,0.625,23.4375,23.43749999999999,1.0658141036401503e-14
A,Direct,0.125,0.5,0.625,31.25,31.24999999999999,1.0658141036401503e-14
A,Direct,0.125,0.625,0.625,39.0625,39.06249999999999,7.105427357601002e-15
A,Direct,0.125,0.75,0.625,46.875,46.87499999999998,2.1316282072803006e-14
A,Direct,0.125,0.875,0.625,54.6875,54.687499999999986,1.4210854715202004e-14
A,Direct,0.125,1.0,0.625,62.5,62.5,0.0
A,Direct,0.125,0.0,0.75,0.0,0.0,0.0
A,Direct,0.125,0.125,0.75,9.375,9.374999999999995,5.329070518200751e-15
A,Direct,0.125,0.25,0.75,18.75,18.74999999999999,1.0658141036401503e-14
A,Direct,0.125,0.375,0.75,28.125,28.124999999999993,7.105427357601002e-15
A,Direct,0.125,0.5,0.75,37.5,37.49999999999999,7.105427357601002e-15
A,Direct,0.125,0.625,0.75,46.875,46.874999999999986,1.4210854715202004e-14
A,Direct,0.125,0.75,0.75,56.25,56.24999999999999,7.105427357601002e-15
A,Direct,0.125,0.875,0.75,65.625,65.62499999999999,1.4210854715202004e-14
A,Direct,0.125,1.0,0.75,75.0,75.0,0.0
A,Direct,0.125,0.0,0.875,0.0,0.0,0.0
A,Direct,0.125,0.125,0.875,10.9375,10.937499999999996,3.552713678800501e-15
A,Direct,0.125,0.25,0.875,21.875,21.874999999999993,7.105427357601002e-15
