problem,case,method,h,k,lambda,x,t,exact,numerical,absolute_error
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.0,0.0,0.0,0.0,0.0
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.1,0.0,0.3090169943749474,0.3090169943749474,0.0
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.2,0.0,0.5877852522924731,0.5877852522924731,0.0
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.30000000000000004,0.0,0.8090169943749475,0.8090169943749475,0.0
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.4,0.0,0.9510565162951535,0.9510565162951535,0.0
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.5,0.0,1.0,1.0,0.0
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.6000000000000001,0.0,0.9510565162951535,0.9510565162951535,0.0
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.7000000000000001,0.0,0.8090169943749475,0.8090169943749475,0.0
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.8,0.0,0.5877852522924732,0.5877852522924732,0.0
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.9,0.0,0.3090169943749475,0.3090169943749475,0.0
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,1.0,0.0,1.2246467991473532e-16,1.2246467991473532e-16,0.0
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.0,0.004,0.0,0.0,0.0
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.1,0.004,0.2970551630579918,0.29691749979197873,0.000137663266013055
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.2,0.004,0.565032497050845,0.5647706459584526,0.00026185109239240667
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.30000000000000004,0.004,0.7777005134194648,0.7773401063100401,0.00036040710942464305
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.4,0.004,0.9142417849764919,0.9138181010090097,0.000423683967482158
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.5,0.004,0.9612907007229459,0.9608452130361229,0.00044548768682295403
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.6000000000000001,0.004,0.9142417849764919,0.9138181010090097,0.000423683967482158
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.7000000000000001,0.004,0.7777005134194648,0.7773401063100402,0.000360407109424532
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.8,0.004,0.5650324970508451,0.5647706459584526,0.0002618510923925177
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.9,0.004,0.2970551630579919,0.29691749979197885,0.000137663266013055
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,1.0,0.004,1.1772415796904719e-16,0.0,1.1772415796904719e-16
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.0,0.008,0.0,0.0,0.0
